game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
"Outward₹2,533",Outward,"₹2,533",RPG,Co-opSingle Player,DeveloperNine Dots Studio,PublisherPRIME MATTER,Release Date03/26/19,PlatformWindowsWindows,Windows 7/8/10,4 GB RAM,Nvidia GTS 450 or equivalent,15 GB available space,null,null,23%,64,Weak
The Walking Dead: A New Frontier-60%₹670₹268,The Walking Dead: A New Frontier,₹268,NarrationAdventure,Single PlayerController Support,DeveloperTelltale Games,PublisherSkybound Games,Release Date12/20/16,PlatformWindowsWindows,Windows 7 64Bit Service Pack 1,3 GB RAM,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT),Version 11,16 GB available space,null,54%,71,Fair
The Telltale Batman Shadows Edition₹819,The Telltale Batman Shadows Edition,₹819,ActionAction-AdventureAdventure,Controller SupportSingle Player,"DeveloperLCG Entertainment, Inc.Telltale",PublisherTelltale,Release Date12/17/19,PlatformWindowsWindows,Windows 7 64Bit Service Pack 1,3 GB RAM,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT) - LATEST DRIVERS REQUIRED,Version 11,30 GB available space,null,null,null,null
He Will Shoot₹49,He Will Shoot,₹49,ShooterActionSurvival,Single Player,DeveloperBoom Games,PublisherBoom Games,Release Date12/16/21,PlatformWindowsWindows,Windows 7 / 8 / 8.1 / 10,4 GB RAM,Nvidia GTX 1050 / AMD RX 560,8 GB,null,Text: English,null,null,null
The Alien Cube₹469,The Alien Cube,₹469,AdventureHorrorIndie,Single Player,DeveloperAlessandro Guzzo,PublisherAlessandro Guzzo,Release Date10/14/21,PlatformWindowsWindows,Windows 7,8 GB RAM,Nvidia GTX 1050 2GB/AMD RX 560 2GB,DirectX 11,20 GB available space,"Text: Russian, Spanish (Spain), German, Italian, English, French, Turkish, Portuguese",null,null,null
Snake Pass₹469,Snake Pass,₹469,AdventurePlatformerCasual,Single PlayerController Support,DeveloperSumo Digital,PublisherSecret Mode,Release Date01/12/22,PlatformWindowsWindows,Windows 8/10 (64-bit OS required),4 GB RAM,NVIDIA GTX 560 2GB/AMD Radeon 6870 HD 2GB or equivalent (Integrated graphics not supported),DirectX 11,5 GB available space,"Text: German, English, Spanish (Spain), French, Italian",51%,74,Fair
Adios₹429,Adios,₹429,NarrationAdventureFirst Person,Controller SupportSingle Player,DeveloperMischief,PublisherMischief,Release Date06/29/21,PlatformWindowsWindows,7,4 GB RAM,NVIDIA GTX 560/AMD Radeon 6870 or equivalent (Integrated graphics not supported),2.5GB,null,Text: English,62%,75,Strong
"Mutant Year Zero: Road to Eden₹1,043",Mutant Year Zero: Road to Eden,"₹1,043",Turn-BasedRPGStrategy,Single Player,DeveloperThe Bearded Ladies,PublisherFuncom,Release Date12/04/18,PlatformWindowsWindows,Windows 7 64 Bit/ Windows 8 64 Bit/ Windows 10 64 Bit,6 GB RAM,NVidia GTX 580 / AMD Radeon HD 7870,Version 11,null,null,66%,78,Strong
ReadySet Heroes₹595,ReadySet Heroes,₹595,ActionPartyRPG,Co-opMultiplayer,DeveloperRobot Entertainment,PublisherPlayStation PC LLC,Release Date10/29/19,PlatformWindowsWindows,Windows 7/8/10,4GB,Nvidia GTX 660 / AMD Radeon R9 270,12,6GB,null,null,null,null
"Strategic Mind: Fight for Freedom₹1,099",Strategic Mind: Fight for Freedom,"₹1,099",StrategyTurn-Based,Single Player,DeveloperStarni Games,PublisherStarni Games,Release Date01/19/22,Windows ,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",4 GB RAM,Nvidia GTX 750 Ti or better or AMD HD,DirectX 11,40 GB available space,"Text: English, Chinese (Simplified), Korean, German, French, Russian, Ukrainian, Polish",null,null,null
Strategic Mind: Blitzkrieg₹939,Strategic Mind: Blitzkrieg,₹939,StrategyTurn-Based,Single Player,DeveloperStarni Games,PublisherStarni Games,Release Date02/09/22,Windows ,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",4 GB RAM,Nvidia GTX 750 Ti or better or AMD HD 7870 or better,DirectX 11,40 GB available space,"Text: English, French, German, Korean, Chinese (Simplified), Ukrainian, Russian, Polish, Portuguese, Spanish (Spain)",null,null,null
Strategic Mind: The Pacific₹709,Strategic Mind: The Pacific,₹709,StrategyTurn-Based,Single Player,DeveloperStarni Games,PublisherStarni Games,Release Date01/19/22,Windows ,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",4 GB RAM,Nvidia GTX 750 Ti or better or AMD HD 7870 or better,DirectX 11,40 GB available space,"Text: English, Russian, French, German, Chinese (Simplified), Korean, Spanish (Spain), Portuguese, Polish",null,null,null
Strategic Mind: Spectre of Communism₹709,Strategic Mind: Spectre of Communism,₹709,StrategyTurn-Based,Single Player,DeveloperStarni Games,PublisherStarni Games,Release Date02/09/22,Windows ,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",4 GB RAM,Nvidia GTX 750 Ti or better or AMD HD 7870 or better,DirectX 11,40 GB available space,"Text: English, Russian, French, German, Korean, Chinese (Simplified), Ukrainian",null,null,null
Dangerous Driving₹819,Dangerous Driving,₹819,Racing,MultiplayerSingle Player,DeveloperThree Fields Entertainment,PublisherThree Fields Entertainment,Release Date04/09/19,PlatformWindowsWindows,Windows 7,4 GB RAM,nVidia GTX 750ti / AMD Radeon R7 265,Version 11,12 GB available space,null,22%,65,Weak
White Shadows₹529,White Shadows,₹529,Puzzle,Single Player,DeveloperMonokel,"PublisherThunderful Publishing, Mixtvision",Release Date04/08/22,Windows ,Windows 10,8 GB,NVIDIA GTX 960 | AMD R9 380,6 GB,Gamepad,"Text: Spanish (Latin America), Russian, Chinese (Simplified), Korean, Portuguese, Arabic, Japanese, German, French, English",52%,69,Fair
Iron Danger₹489,Iron Danger,₹489,RPGAction-AdventureIndie,Single Player,DeveloperAction Squad Studios,PublisherDaedalic Entertainment,Release Date01/18/22,Windows ,64-bit Windows 10,8 GB RAM,NVIDIA GTX 960 3GB / AMD R9 280 3GB,DirectX 11,14 GB available space,"Text: Turkish, Korean, German, French, Spanish (Spain), Polish, Japanese, Russian, Chinese (Traditional), Chinese (Simplified), English",52%,72,Fair
"Alfred Hitchcock - Vertigo₹1,599",Alfred Hitchcock - Vertigo,"₹1,599",NarrationAdventure,Single Player,DeveloperPendulo Studio,PublisherMicroids,Release Date02/24/22,Windows ,Windows 7,8GB,Nvidia GTX 960 or AMD R9 285 2GB,DirectX 11,42GB,"Text: English, French, German, Italian, Russian, Spanish (Spain)",null,null,null
